Date,Test machine,Test Compiler,Pointer size,Build type,Map size,Find count,Test type,Time#0,Time#1,Time#2,Time#3,Time#4,avg,median,sum
2017-04-17,,MSVC_2015_u3,4,release,3,33333333,MapVectorAoS_sorted,2.367,2.35,2.362,2.35,2.492,2.3842,2.362,11.921
2017-04-17,,MSVC_2015_u3,4,release,3,33333333,MapVectorAoS_unsorted,1.862,1.862,1.871,1.884,1.95,1.8858,1.871,9.429
2017-04-17,,MSVC_2015_u3,4,release,3,33333333,MapVectorSoA_sorted,2.288,2.278,2.278,2.297,2.361,2.3004,2.288,11.502
2017-04-17,,MSVC_2015_u3,4,release,3,33333333,MapVectorSoA_unsorted,1.844,1.865,1.876,1.86,1.867,1.8624,1.865,9.312
2017-04-17,,MSVC_2015_u3,4,release,3,33333333,std::map,3.81,3.801,3.779,3.806,3.812,3.8016,3.806,19.008
2017-04-17,,MSVC_2015_u3,4,release,3,33333333,std::unordered_map,3.778,3.796,3.777,3.798,3.86,3.8018,3.796,19.009
2017-04-17,,MSVC_2015_u3,4,release,3,33333333,boost::flat_map,4.121,4.116,4.117,4.127,4.226,4.1414,4.121,20.707
2017-04-17,,MSVC_2015_u3,4,release,3,33333333,smFlatMap,2.613,2.613,2.598,2.617,2.613,2.6108,2.613,13.054
2017-04-17,,MSVC_2015_u3,4,release,3,33333333,pubbyVectorMap,7.096,7.414,7.103,7.089,7.105,7.1614,7.103,35.807
2017-04-17,,MSVC_2015_u3,4,release,1000,10000000,MapVectorAoS_sorted,1.362,1.36,1.462,1.37,1.423,1.3954,1.37,6.977
2017-04-17,,MSVC_2015_u3,4,release,1000,10000000,MapVectorAoS_unsorted,9.271,9.199,9.219,9.081,9.118,9.1776,9.199,45.888
2017-04-17,,MSVC_2015_u3,4,release,1000,10000000,MapVectorSoA_sorted,1.339,1.338,1.33,1.325,1.332,1.3328,1.332,6.664
2017-04-17,,MSVC_2015_u3,4,release,1000,10000000,MapVectorSoA_unsorted,6.861,6.832,6.837,6.816,6.868,6.8428,6.837,34.214
2017-04-17,,MSVC_2015_u3,4,release,1000,10000000,std::map,1.756,1.742,1.755,1.736,1.743,1.7464,1.743,8.732
2017-04-17,,MSVC_2015_u3,4,release,1000,10000000,std::unordered_map,1.751,1.741,1.777,1.773,1.766,1.7616,1.766,8.808
2017-04-17,,MSVC_2015_u3,4,release,1000,10000000,boost::flat_map,1.904,1.9,1.915,1.899,1.903,1.9042,1.903,9.521
2017-04-17,,MSVC_2015_u3,4,release,1000,10000000,smFlatMap,2.414,2.403,2.413,2.408,2.403,2.4082,2.408,12.041
2017-04-17,,MSVC_2015_u3,4,release,1000,10000000,pubbyVectorMap,8.176,8.399,8.126,8.319,8.142,8.2324,8.176,41.162